TEXT_ID	CONTENT	Comment
编号	内容	备注
Client	Client	Client
int	string	string
20906	失控的火炬	
20907	轻型精英召唤	
20908	轻型精英魔盾	
20909	艾拉	
20910	崩坏的艾拉	
20911	流落街头的艾美	
20912	无家可归的黛比	
20913	重病卧床的夏洛特	
20914	改头换面的绫濑	
20915	放火救疫的叶莲娜	
20916	幸灾乐祸的辛迪亚	
20917	嫉妒的魔女索尼娅	
20918	贪婪的魔女艾尼耶丝	
20919	充当木桩的阿玛迪斯	
20920	我要回老家结婚了	
20921	明天是我女儿的生日	
20922	已经没什么好怕的了	
20923	护养员·格拉斯	
20924	花仙子·芙萝拉	
20925	动物伙伴·花花	
20926	采花使者·泡泡	
20927	露营爱好者·毛毛	
20928	无下限的精灵·露露	
20929	森之贤者·亚妮拉丝	
20930	森之圣女·伊莱恩	
20931	森之妖精·比琪	
20932	森之四天王·蕾切尔	
20933	森之四天王·爱弥儿	
20934	森之四天王·米迦尔	
20935	森之四天王·米莉亚	
20936	森之四天王·克蕾雅	
20937	制定了复习计划！	
20938	一起玩一会儿游戏吧	
20939	啊！天黑了该回家了	
20940	漫无止境的五月病	
20941	日区降临空位	
20942	日区降临空位	
20943	日区降临空位	
20944	日区降临空位	
20945	日区降临空位	
20946	日区降临空位	
20947	日区降临空位	
20948	日区降临空位	
20949	日区降临空位	
20950	日区降临空位	
20951	日区降临空位	
20952	亏本店主维斯	
20953	贪心店主巴尼亚	
20954	最爱八卦新闻的彩羽	
20955	人傻钱多的八幡	
20956	迷路导游贝蒂	
20957	捣蛋王帕克	
20958	喜欢搞突击的城管菲尔特	
20959	屠夫修女实习生露菲娜	
20960	猎犬修女吊车尾莉丝	
20961	自称白塔法师的塔巴萨	
20962	自称红塔法师的路易斯	
20963	装作石像的吸血鬼希尔德	
20964	安心在家吃冰的小北	
20965	七夕狙击情侣的小腐	
20966	预定最后一天补作业的小花	
20967	中二病发的小峘	
20968	No.14 仓鼠唤士	
20969	No.15 平地摔博士	
20970	No.16 章鱼丸子使	
20971	No.17 暗夜眷属（笑）	
20972	No.18 永恒的Miss	
